municipios_BR_dadosFID,municipios_BR_dadosmun_nm,municipios_BR_dadoscod_ibge,municipios_BR_dadosT2_1_man,municipios_BR_dadosT2_2_rpe,municipios_BR_dadosT2_2_qe_m3,municipios_BR_dadosT2_2_qe_ls,municipios_BR_dadosT2_4_tpsis,municipios_BR_dadosT2_4_tp_op,municipios_BR_dadosT3_1_c_man,municipios_BR_dadosT3_2_sispr,municipios_BR_dadosT3_3_avqtt,municipios_BR_dadosT3_4_dist,municipios_BR_dadosT3_5_efdis,municipios_BR_dadosT3_6_efpr,municipios_BR_dadosT3_7_ish,municipios_BR_dadosT3_8_plnac,municipios_BR_dadosT3_9_ivi,municipios_BR_dadosT3_10_perd,municipios_BR_dadosT2_2_SiSem,WebServices_Croquis_vfinalcsvHiperlink1,WebServices_Croquis_vfinalcsvNome_Croqui1,WebServices_Croquis_vfinalcsvHiperlink2,WebServices_Croquis_vfinalcsvNome_Croqui2,WebServices_Croquis_vfinalcsvHiperlink3,WebServices_Croquis_vfinalcsvNome_Croqui3,WebServices_Croquis_vfinalcsvHiperlink4,WebServices_Croquis_vfinalcsvNome_Croqui4,WebServices_Croquis_vfinalcsvHiperlink5,WebServices_Croquis_vfinalcsvNome_Croqui5,WebServices_Croquis_vfinalcsvHiperlink6,WebServices_Croquis_vfinalcsvNome_Croqui6,WebServices_Croquis_vfinalcsvHiperlink7,WebServices_Croquis_vfinalcsvNome_Croqui7
0,Aliança do Tocantins,1700350,Preponderantemente Superficial,1700350,0.000331,0.330794,Sistema Isolado,Concessionária Privada,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Média,Máxima,Alta,Medida de Gestão,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1700350_AliancadoTocantins.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1,Abreulândia,1700251,Exclusivamente Subterrânea,1700251,0.000296,0.296309,Sistema Isolado,Concessionária Privada,Manancial com Média Vulnerabilidade,Ampliação do sistema,Manancial com Média Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Mínima,Média,Infraestrutura que Requer Estudo de Alternativas - Novo Manancial,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1700251_Abreulandia.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
2,Aparecida do Rio Negro,1701101,Exclusivamente Subterrânea,1701101,0.001465,1.465314,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Média,Média,Infraestrutura Potencial com Estudo Complementar,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1701101_AparecidadoRioNegro.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3,Araguacema,1701903,Preponderantemente Superficial,1701903,0.000358,0.357661,Sistema Isolado,Concessionária Privada,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Alta,Média,Alta,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1701903_Araguacema.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
4,Araguaçu,1702000,Exclusivamente Superficial,1702000,0.000109,0.109125,Sistema Isolado,Concessionária Privada,Manancial com Média Vulnerabilidade,Satisfatório,Manancial com Média Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Baixa,Média,Infraestrutura que Requer Estudo de Alternativas - Novo Manancial,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1702000_Araguacu.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5,Araguaína,1702109,Exclusivamente Subterrânea,1702109,0.001002,1.001749,Sistema Isolado,Concessionária Privada,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Média,Média,Infraestrutura Recomendada,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1702109_Araguaina.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
6,Araguanã,1702158,Exclusivamente Subterrânea,1702158,0.00049,0.489656,Sistema Isolado,Concessionária Privada,Manancial com Baixa Vulnerabilidade,Ampliação do sistema,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Média,Alta,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1702158_Araguana.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
7,Araguatins,1702208,Exclusivamente Superficial,1702208,0.001434,1.433737,Sistema Isolado,Autarquia Municipal,Manancial com Baixa Vulnerabilidade,Adequação do sistema,Manancial com Baixa Vulnerabilidade,70 ≥ Índice de Cobertura > 90%,Baixa,Alta,Média,Infraestrutura Recomendada,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1702208_Araguatins.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
8,Arapoema,1702307,Exclusivamente Superficial,1702307,0.000474,0.473545,Sistema Isolado,Concessionária Privada,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Média,Máxima,Alta,Medida de Gestão,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1702307_Arapoema.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
9,Arraias,1702406,Exclusivamente Superficial,1702406,0.000897,0.896645,Sistema Isolado,Concessionária Privada,Manancial com Média Vulnerabilidade,Satisfatório,Manancial com Média Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Baixa,Média,Infraestrutura Potencial com Estudo Complementar,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1702406_Arraias.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
10,Belford Roxo,3300456,Exclusivamente Superficial,3300456,0.0011,1.100036,Sistema Integrado,Companhia Estadual,Manancial com Média Vulnerabilidade,Ampliação do sistema,Manancial com Média Vulnerabilidade,70 ≥ Índice de Cobertura > 90%,Baixa,Mínima,Baixa,Infraestrutura Recomendada,D,Ação necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_RJ_INT_03_Guandu.pdf,Sistema Integrado Guandu,,,,,,,,,,,,
11,Ferraz de Vasconcelos,3515707,Exclusivamente Superficial,3515707,0.002739,2.738878,Sistema Integrado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Média,Média,Infraestrutura Recomendada,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_SP_INT_03_AltoTiete.pdf,Sistema Integrado Alto Tietê,,,,,,,,,,,,
12,Pariquera-Açu,3536208,Exclusivamente Superficial,3536208,0.001955,1.955429,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Alta,Alta,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3536208_PariqueraAcu.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
13,Jaú,3525300,Preponderantemente Superficial,3525300,0.002827,2.826637,Sistema Isolado,Concessionária Privada,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Média,Máxima,Alta,Medida de Gestão,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3525300_Jau.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
14,Aurora do Tocantins,1702703,Exclusivamente Superficial,1702703,0.00299,2.989713,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Média,Máxima,Alta,Medida de Gestão,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1702703_AuroradoTocantins.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
15,Talismã,1720978,Exclusivamente Subterrânea,1720978,0.000102,0.101931,Sistema Isolado,Concessionária Privada,Manancial com Média Vulnerabilidade,Ampliação do sistema,Manancial com Média Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Mínima,Média,Infraestrutura que Requer Estudo de Alternativas - Novo Manancial,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1720978_Talisma.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
