X,Y,OBJECTID,cdestacao,ano,sguf,entidade,corpodagua,ambiente,nuod,medod,minod,maxod,devod,latitude,longitude
-68.745167,-11.0176389996455,1,13459000,2020,AC,Sema,Rio Acre,1,5,6.78,6.18,7.5,0.525214,-11.017639,-68.745167
-38.238056,-12.0144439996153,2,RCNSAU800,2020,BA,INEMA,Sauípe,1,2,5.93,5.89,5.97,0.056569,-12.014444,-38.238056
-42.343444,-10.9847779996465,3,VJRVRD650,2020,BA,INGÁ,Rio Verde,1,2,2.015,1.45,2.58,0.799031,-10.984778,-42.343444
-53.571244,-19.3775629994087,4,00MS15RV2344,2020,MS,IMASUL,Rio Verde,1,5,7.64,6.6,8.4,0.654217,-19.377563,-53.571244
-61.4406,2.87079999990551,5,14680002,2020,RR,FEMARH,RIO MUCAJAÍ,1,6,6.995,6.29,7.7,0.495045,2.8708,-61.4406
-52.9003999999999,-31.7157999991557,6,88549000,2020,RS,FEPAM,Rio Piratini,1,5,9.338,8.47,10.31,0.733192,-31.7158,-52.9004
-52.1858,-21.8477999993476,7,PARN02740,2020,SP,CETESB,Rio Paraná,1,7,7.328571,6,8,0.756559,-21.8478,-52.1858
-49.930538,-10.5828439996589,8,26799000,2020,TO,SEMARH - TOCANTINS ,Rio Formoso,1,5,7.124,6.54,7.74,0.483766,-10.582844,-49.930538
-49.935907,-10.5614459996595,9,26800001,2020,TO,SEMARH - TOCANTINS ,Rio Javaés,1,5,7.126,6.19,7.76,0.578904,-10.561446,-49.935907
-49.2748359999999,-8.36245499972808,10,27500001,2020,TO,SEMARH - TOCANTINS ,Rio Araguaia,1,4,6.5275,4.62,8.19,1.726391,-8.362455,-49.274836
-48.296282,-7.20754899976478,11,28200001,2020,TO,SEMARH - TOCANTINS ,Rio Lontra,1,4,23.645,4.27,80.54,37.931171,-7.207549,-48.296282
-48.635905,-6.56597299978528,12,28270000,2020,TO,SEMARH - TOCANTINS ,Rio Lontra,1,4,57.21,6.32,110.21,58.551125,-6.565973,-48.635905
-48.529668,-6.40286899979055,13,28300001,2020,TO,SEMARH - TOCANTINS ,Rio Araguaia,1,4,7.1725,5.56,8.93,1.554378,-6.402869,-48.529668
-48.352071,-6.35679999979204,14,28321000,2020,TO,SEMARH - TOCANTINS,RIO CORDA,1,4,6.595,4.46,8.29,1.784012,-6.3568,-48.352071
-48.177341,-5.78920099981031,15,28845000,2020,TO,SEMARH - TOCANTINS ,Rio São Martinho,1,4,7.385,6.64,7.91,0.559434,-5.789201,-48.177341
-48.1721279999999,-5.70950599981292,16,28850001,2020,TO,SEMARH - TOCANTINS ,Rio Araguaia,1,4,7.475,6.43,8.88,1.104732,-5.709506,-48.172128
-72.770613,-8.93639999970999,17,12369000,2020,AC,SEMA,Rio Juruá,1,4,6.385,5.96,7.07,0.483632,-8.9364,-72.770613
-72.7335849999999,-8.25394899973153,18,12389000,2020,AC,SEMA,Rio Juruá,1,4,6.175,5.75,6.51,0.379517,-8.253949,-72.733585
-72.7187309999999,-7.60107699975223,19,12430000,2020,AC,Sema,Rio Moa,1,5,5.378,3.86,6.79,1.41925,-7.601077,-72.718731
-72.6606649999999,-7.63453799975116,20,12500004,2020,AC,Sema,Rio Juruá,1,5,5.766,4.49,7.42,1.116906,-7.634538,-72.660665
-71.9525,-9.18829999970213,21,12557000,2020,AC,SEMA,Rio Tarauacá,1,4,7.5375,7.3,7.83,0.222467,-9.1883,-71.9525
-70.7456666699999,-8.15191666673475,22,12600002,2020,AC,Sema,Rio Tarauacá,1,5,6.934,6.15,8.39,0.859116,-8.15191667,-70.74566667
-70.3895833299999,-8.16683333273425,23,12660000,2020,AC,Sema,Rio Envira,1,5,6.58,5.38,7.67,0.814402,-8.16683333,-70.38958333
-70.4941899999999,-9.43425999969442,24,13169900,2020,AC,SEMA,Rio Purus,1,4,7.0025,6.19,7.7,0.62088,-9.43426,-70.49419
-69.276056,-8.88858299971149,25,13190000,2020,AC,Sema,Rio Purus,1,18,5.551111,3.73,7.94,1.053872,-8.888583,-69.276056
-68.6616529999999,-9.0810609997055,26,13408000,2020,AC,Sema,Rio Iaco,1,5,6.942,3.75,9.34,2.12984,-9.081061,-68.661653
-69.566694,-10.9446109996478,27,13438000,2020,AC,Sema,Rio Acre,1,5,7.33,6.48,8.35,0.736648,-10.944611,-69.566694
-68.506583,-10.6499169996568,28,13550001,2020,AC,Sema,Rio Acre,1,5,6.712,5.95,7.48,0.553417,-10.649917,-68.506583
-67.778222,-9.95783299967813,29,13601000,2020,AC,Sema,Rio Acre,1,5,6.322,5.38,6.93,0.612103,-9.957833,-67.778222
-67.532944,-9.59066699968954,30,13610001,2020,AC,Sema,Rio Acre,1,5,5.998,5.32,6.37,0.428334,-9.590667,-67.532944
-67.532889,-9.59072199968957,31,13770000,2020,AC,Sema,Rio Iquiri,1,5,5.474,4.59,6.24,0.686098,-9.590722,-67.532889
-67.1838059999999,-10.3376939996664,32,15324300,2020,AC,Sema,Rio Abunã,1,5,5.686,4.42,7.06,1.234273,-10.337694,-67.183806
-35.4356,-9.01079999970769,33,39622000,2020,AL,SEMARH,Rio Manguaba,1,2,6.15,5.8,6.5,0.494975,-9.0108,-35.4356
-35.5397,-9.15919999970301,34,39650010,2020,AL,SEMARH,Rio Camaragibe,1,2,5.7,5.1,6.3,0.848528,-9.1592,-35.5397
-35.7316,-9.44389999969411,35,39652010,2020,AL,SEMARH,Rio Meirim,1,2,8.085,7.57,8.6,0.72832,-9.4439,-35.7316
-36.0357,-9.15489999970315,36,39740010,2020,AL,SEMARH,Rio Mundaú,1,2,7.46,7.42,7.5,0.056569,-9.1549,-36.0357
-35.8102,-9.66029999968739,37,39761600,2020,AL,SEMARH,Rio dos Remédios,1,2,6.495,6.4,6.59,0.13435,-9.6603,-35.8102
-35.7066,-9.59529999968941,38,39762000,2020,AL,SEMARH,Rio Jacarecica,1,2,4.9,2.6,7.2,3.252691,-9.5953,-35.7066
-35.6894,-9.53029999969143,39,39762100,2020,AL,SEMARH,Rio Pratagy,1,2,5.4,5.1,5.7,0.424264,-9.5303,-35.6894
-35.86,-9.46759999969338,40,39770010,2020,AL,SEMARH,Rio Mundaú,1,2,3.61,3.2,4.02,0.579828,-9.4676,-35.86
-36.4825999999999,-9.30159999969857,41,39840000,2020,AL,SEMARH,Rio Paraiba,1,2,8.1,7.3,8.9,1.131371,-9.3016,-36.4826
-36.0228,-9.50669999969218,42,39870001,2020,AL,SEMARH,Rio Paraíba,1,2,4.48,1.8,7.16,3.790092,-9.5067,-36.0228
-36.0327,-9.70159999968607,43,39901900,2020,AL,SEMARH,Rio Sumauma,1,2,7.515,7.5,7.53,0.021213,-9.7016,-36.0327
