OBJECTID,CD_GEOCODM,SHAPE_LENG,ANO_BASE,ID_ESTADO,NOME,ID_MUNICIP,OBJECTID_12,AA_REF,AA_MALHA,PAI_CD,MUN_CD,MUN_CD_FINAL,MUN_NM,MUN_NM_FINAL,MUN_NM_UF_FINAL,EST_NM,EST_NM_FINAL,EST_SIGLA_FINAL,RGE_NM,RGE_NM_FINAL,RETIRADA_HU_M3_S,CONSUMO_HU_M3_S,RETORNO_HU_M3_S,RETIRADA_HR_M3_S,CONSUMO_HR_M3_S,RETORNO_HR_M3_S,RETIRADA_IT_M3_S,CONSUMO_IT_M3_S,RETORNO_IT_M3_S,RETIRADA_MN_M3_S,CONSUMO_MN_M3_S,RETORNO_MN_M3_S,RETIRADA_TE_M3_S,CONSUMO_TE_M3_S,RETORNO_TE_M3_S,RETIRADA_AN_M3_S,CONSUMO_AN_M3_S,RETORNO_AN_M3_S,RETIRADA_IR_M3_S,CONSUMO_IR_M3_S,RETORNO_IR_M3_S,RETIRADA_TOTAL_M3_S,CONSUMO_TOTAL_M3_S,RETORNO_TOTAL_M3_S,SHAPEAREA,SHAPELEN
1,1100015,5.8073504,2013,11,Alta Floresta D'Oeste,1100015,1,2030,2013,BR,1100015,1100015,Alta Floresta D'Oeste,Alta Floresta D'Oeste,RO - Alta Floresta D'Oeste,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.04049015,0.00809803,0.03239212,0.00793519,0.00634815,0.00158704,0.0039776,0.00062072,0.00335689,0,0,0,0,0,0,0.28824029,0.22913724,0.05910305,0.05467373,0.04863754,0.0060362,0.39531696,0.29284167,0.10247529,0,0
2,1100023,3.9868828,2013,11,Ariquemes,1100023,2,2030,2013,BR,1100023,1100023,Ariquemes,Ariquemes,RO - Ariquemes,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.45541805,0.09108361,0.36433444,0.01153819,0.00923056,0.00230764,0.07177564,0.02045979,0.05131585,0.03966564,0.01811179,0.02155385,0,0,0,0.3191888,0.25282049,0.06636831,0.01747664,0.01615874,0.00131789,0.91506296,0.40786498,0.50719798,0,0
3,1100031,1.74524141,2013,11,Cabixi,1100031,3,2030,2013,BR,1100031,1100031,Cabixi,Cabixi,RO - Cabixi,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.01529073,0.00305815,0.01223258,0.00279745,0.00223796,0.00055949,0.00194634,0.00040514,0.0015412,6.46e-05,2.95e-05,3.51e-05,0,0,0,0.0903554,0.07059288,0.01976252,0.00102849,0.00077289,0.0002556,0.11148301,0.07709651,0.0343865,0,0
4,1100049,2.96664813,2013,11,Cacoal,1100049,4,2030,2013,BR,1100049,1100049,Cacoal,Cacoal,RO - Cacoal,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.29358943,0.05871789,0.23487154,0.01615278,0.01292222,0.00323056,0.06316611,0.01002135,0.05314476,0.00117869,0.0005382,0.00064049,0,0,0,0.32577206,0.25617254,0.06959952,0.73245192,0.67824665,0.05420527,1.43231098,1.01661885,0.41569214,0,0
5,1100056,3.48590035,2013,11,Cerejeiras,1100056,5,2030,2013,BR,1100056,1100056,Cerejeiras,Cerejeiras,RO - Cerejeiras,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.0282379,0.00564758,0.02259032,0.00177662,0.0014213,0.00035532,0.00753806,0.00349166,0.0040464,0,0,0,0,0,0,0.06217607,0.04883683,0.01333924,0.00087461,0.00068178,0.00019282,0.10060325,0.06007914,0.04052411,0,0
6,1100064,1.63793398,2013,11,Colorado do Oeste,1100064,6,2030,2013,BR,1100064,1100064,Colorado do Oeste,Colorado do Oeste,RO - Colorado do Oeste,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.04682418,0.00936484,0.03745935,0.00328704,0.00262963,0.00065741,0.01484041,0.00121121,0.01362919,0.00014801,6.758e-05,8.043e-05,0,0,0,0.18702515,0.14679777,0.04022738,0.00548234,0.00441822,0.00106412,0.25760712,0.16448925,0.09311787,0,0
7,1100072,3.14319861,2013,11,Corumbiara,1100072,7,2030,2013,BR,1100072,1100072,Corumbiara,Corumbiara,RO - Corumbiara,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.02332864,0.00466573,0.01866291,0.00384028,0.00307222,0.00076806,0.00383855,0.00137529,0.00246326,0,0,0,0,0,0,0.20486965,0.16132948,0.04354017,0.00092045,0.00056553,0.00035492,0.23679757,0.17100825,0.06578932,0,0
8,1100080,5.07744965,2013,11,Costa Marques,1100080,8,2030,2013,BR,1100080,1100080,Costa Marques,Costa Marques,RO - Costa Marques,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.06234672,0.01246934,0.04987738,0.01054514,0.00843611,0.00210903,0.00026269,5.21e-05,0.00021058,3.397e-05,1.551e-05,1.846e-05,0,0,0,0.28119231,0.22126692,0.05992538,0.00014084,0.00013042,1.042e-05,0.35452167,0.24237042,0.11215125,0,0
9,1100098,3.0755366,2013,11,Espigão D'Oeste,1100098,9,2030,2013,BR,1100098,1100098,EspigÃ£o D'Oeste,Espigão D'Oeste,RO - Espigão D'Oeste,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.07775132,0.01555026,0.06220106,0.00857986,0.00686389,0.00171597,0.04181336,0.00634868,0.03546468,0.01150941,0.00525533,0.00625408,0,0,0,0.28557232,0.22424158,0.06133073,0.0378595,0.03505638,0.00280312,0.46308577,0.29331612,0.16976964,0,0
10,1100106,9.14668442,2013,11,Guajará-Mirim,1100106,10,2030,2013,BR,1100106,1100106,GuajarÃ¡-Mirim,Guajará-Mirim,RO - Guajará-Mirim,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.2246648,0.04493296,0.17973184,0.00912847,0.00730278,0.00182569,0.01379933,0.00287897,0.01092036,0.00012782,5.836e-05,6.946e-05,0,0,0,0.14850057,0.11755945,0.03094112,0.00971547,0.00874413,0.00097134,0.40593645,0.18147665,0.2244598,0,0
